id,created_at,user,ori_text,hashtags,cleaned_text,cleaned_hashtags,cleaned_text_no_stopwords,label
1889617201092518227,2025-02-12 10:07:02+00:00,Suci Lestari Yuana,"Minggu pertama kuliah di UGM dimulai dengan demo aksi solidaritas untuk Tukin Dosen ASN Kemendiktisaintek. Gimana dengan kampusmu? 😉 
#TukinforAll
#BerserikatKitaKuat https://t.co/tbEottUw3c","['TukinforAll', 'BerserikatKitaKuat']",minggu pertama kuliah di ugm dimulai dengan demo aksi solidaritas untuk tukin dosen asn kemendiktisaintek bagaimana dengan kampusmu,tukinforall berserikatkitakuat,minggu kuliah ugm demo aksi solidaritas tukin dosen asn kemendiktisaintek kampusmu,Neutral
1886459678508318807,2025-02-03 17:00:10+00:00,𝕭𝖆𝖓𝖌 𝕴𝖖𝖇𝖆𝖑,"Dosen sudah memberikan kewajiban, tapi haknya tak kunjung diberikan.

Kami hanya tidak ingin nantinya pemerintah merengek memaksa dosen mencerdaskan masyarakat yang sulit diatur.

#bayartukindosenkemdiktisaintek #tukinforall #dosenbukansapiperah #DosenDimiskinkanNegara","['bayartukindosenkemdiktisaintek', 'tukinforall', 'dosenbukansapiperah', 'DosenDimiskinkanNegara']",dosen sudah memberikan kewajiban tapi haknya tak kunjung diberikan kami hanya tidak ingin nantinya pemerintah merengek memaksa dosen mencerdaskan masyarakat yang sulit diatur,bayartukindosenkemdiktisaintek tukinforall dosenbukansapiperah dosendimiskinkannegara,dosen kewajiban haknya kunjung pemerintah merengek memaksa dosen mencerdaskan masyarakat sulit diatur,Negative
1886233966434484231,2025-02-03 02:03:16+00:00,Pejuang Tukin Dosen ASN Kemendiktisaintek,"Perjuangan ini akan terus berlanjut sampai keadilan untuk kesejahteraan dosen terwujud
#bayartukindosenkemdiktisaintek 
#dosenbukansapiperah 
#tukinforall https://t.co/ubqsN7q2t7","['bayartukindosenkemdiktisaintek', 'dosenbukansapiperah', 'tukinforall']",perjuangan ini akan terus berlanjut sampai keadilan untuk kesejahteraan dosen terwujud,bayartukindosenkemdiktisaintek dosenbukansapiperah tukinforall,perjuangan berlanjut keadilan kesejahteraan dosen terwujud,Positive
1886286035233247552,2025-02-03 05:30:10+00:00,Nadhifah Al Indis,"Kami tdk meminta naik gaji. Kami hanya menuntut HAK sesuai UU ASN yg tdk ditunaikan oleh pemerintah. Semoga kami (para dosen ASN Kemsiktisaintek) yg sedang memperjuangkan haknya dilindungi dan diberkahi Allah.

#tukinforall
#bayartukindosenkemdiktisaintek
#dosenbukansapiperah https://t.co/9FLL5GtqPR","['tukinforall', 'bayartukindosenkemdiktisaintek', 'dosenbukansapiperah']",kami tidak meminta naik gaji kami hanya menuntut hak sesuai uu asn yang tidak ditunaikan oleh pemerintah semoga kami para dosen asn kemsiktisaintek yang sedang memperjuangkan haknya dilindungi dan diberkahi allah,tukinforall bayartukindosenkemdiktisaintek dosenbukansapiperah,gaji menuntut hak sesuai uu asn ditunaikan pemerintah semoga dosen asn kemsiktisaintek memperjuangkan haknya dilindungi diberkahi allah,Negative
1886218908497334278,2025-02-03 01:03:26+00:00,Muhammad Sajidin,"Ya Allah Lindungilah Mereka yang sedang memperjuangkan Hak Kami, Hindarilah Kami Dari pemimpin yang dzalim.. Aamiin #tukinforall #bayartukindosenkemdiktisaintek #dosenbukansapiperah","['tukinforall', 'bayartukindosenkemdiktisaintek', 'dosenbukansapiperah']",ya allah lindungilah mereka yang sedang memperjuangkan hak kami hindarilah kami dari pemimpin yang dzalim aamiin,tukinforall bayartukindosenkemdiktisaintek dosenbukansapiperah,ya allah lindungilah memperjuangkan hak hindarilah pemimpin dzalim aamiin,Negative
1886238565627314434,2025-02-03 02:21:33+00:00,Pejuang Tukin Dosen ASN Kemendiktisaintek,"Yang harusnya kami fokus penelitian dan pengabdian mumpung liburan semester,,mesti turun juga akhirnya untuk menuntut keadilan ini🥲
#tukinforall 
#dosenbukansapiperah 
#bayartukindosenkemdiktisaintek","['tukinforall', 'dosenbukansapiperah', 'bayartukindosenkemdiktisaintek']",yang harusnya kami fokus penelitian dan pengabdian mumpung liburan semestermesti turun juga akhirnya untuk menuntut keadilan ini,tukinforall dosenbukansapiperah bayartukindosenkemdiktisaintek,fokus penelitian pengabdian mumpung liburan semestermesti turun menuntut keadilan,Neutral
1886470288017383760,2025-02-03 17:42:20+00:00,ghina,"Anggaran ASN dibatasi = ruangan gelap, listrik dibatasi, ac dimatikan, kerja dikumpulkan di satu ruangan.

#bayartukindosenkemdiktisaintek
#tukinforall
#dosenbukansapiperah https://t.co/Gxu3HdU8SU","['bayartukindosenkemdiktisaintek', 'tukinforall', 'dosenbukansapiperah']",anggaran asn dibatasi ruangan gelap listrik dibatasi ac dimatikan kerja dikumpulkan di satu ruangan,bayartukindosenkemdiktisaintek tukinforall dosenbukansapiperah,anggaran asn dibatasi ruangan gelap listrik dibatasi ac dimatikan kerja dikumpulkan ruangan,Neutral
1886231394420171023,2025-02-03 01:53:03+00:00,Taufik Setyadi Aras,"""Hak yang tertunda adalah hak yang diingkari"" -  Martin Luther. 
Panjang umur perjuangan! #tukinforall #bayartukindosenkemdiktisaintek #dosenbukansapiperah https://t.co/OYYNDA0qGG","['tukinforall', 'bayartukindosenkemdiktisaintek', 'dosenbukansapiperah']",hak yang tertunda adalah hak yang diingkari martin luther panjang umur perjuangan,tukinforall bayartukindosenkemdiktisaintek dosenbukansapiperah,hak tertunda hak diingkari martin luther umur perjuangan,Neutral
1880178355573780628,2025-01-17 09:00:26+00:00,Pejuang Tukin Dosen ASN Kemendiktisaintek,"Hadirin sidang Jumat yang dipusingkan pemerintah.

Jangan sampai Anda, Dosen, menerima hasil tanpa berkontribusi apapun pada perjuangan Ini.

#BayarTukinDosenKemdiktisaintek #DosenBukanSapiPerah #DosenDimiskinkanNegara https://t.co/Tyecp5qLFJ","['BayarTukinDosenKemdiktisaintek', 'DosenBukanSapiPerah', 'DosenDimiskinkanNegara']",hadirin sidang jumat yang dipusingkan pemerintah jangan sampai anda dosen menerima hasil tanpa berkontribusi apapun pada perjuangan ini,bayartukindosenkemdiktisaintek dosenbukansapiperah dosendimiskinkannegara,hadirin sidang jumat dipusingkan pemerintah dosen menerima hasil berkontribusi apapun perjuangan,Neutral
1886357244302045675,2025-02-03 10:13:08+00:00,Mudafiq R. Pratama,"Kami para dosen, sedang ditunggu mahasiswa utk dibimbing. Tp kami jg perlu mengajarkan pejabat @Kemdiktisaintek tentang keadilan. Hak yg sdh tertuang dlm UU No 5 tahun 2014, segera bayarkan. 
#tukinforall
#bayartukindosenkemdiktisaintek
#dosenbukansapiperah 
@tukin_dosenASN https://t.co/JU1TsUXntP","['tukinforall', 'bayartukindosenkemdiktisaintek', 'dosenbukansapiperah']",kami para dosen sedang ditunggu mahasiswa untuk dibimbing tapi kami jg perlu mengajarkan pejabat tentang keadilan hak yang sudah tertuang dalam uu no tahun segera bayarkan,tukinforall bayartukindosenkemdiktisaintek dosenbukansapiperah,dosen ditunggu mahasiswa dibimbing jg mengajarkan pejabat keadilan hak tertuang uu no bayarkan,Negative
