id,created_at,user,location,text,in_reply_to,reply_count,favorite_count,hashtags
1886233966434484231,2025-02-03 02:03:16+00:00,Pejuang Tukin Dosen ASN Kemendiktisaintek,Negara tanpa Keadilan,"Perjuangan ini akan terus berlanjut sampai keadilan untuk kesejahteraan dosen terwujud
#bayartukindosenkemdiktisaintek 
#dosenbukansapiperah 
#tukinforall https://t.co/ubqsN7q2t7",,26,767,"['bayartukindosenkemdiktisaintek', 'dosenbukansapiperah', 'tukinforall']"
1886459678508318807,2025-02-03 17:00:10+00:00,𝕭𝖆𝖓𝖌 𝕴𝖖𝖇𝖆𝖑,feet: 🇬🇧..... heart : 🇵🇸,"Dosen sudah memberikan kewajiban, tapi haknya tak kunjung diberikan.

Kami hanya tidak ingin nantinya pemerintah merengek memaksa dosen mencerdaskan masyarakat yang sulit diatur.

#bayartukindosenkemdiktisaintek #tukinforall #dosenbukansapiperah #DosenDimiskinkanNegara",,0,3,"['bayartukindosenkemdiktisaintek', 'tukinforall', 'dosenbukansapiperah', 'DosenDimiskinkanNegara']"
1886286035233247552,2025-02-03 05:30:10+00:00,Nadhifah Al Indis,Jember,"Kami tdk meminta naik gaji. Kami hanya menuntut HAK sesuai UU ASN yg tdk ditunaikan oleh pemerintah. Semoga kami (para dosen ASN Kemsiktisaintek) yg sedang memperjuangkan haknya dilindungi dan diberkahi Allah.

#tukinforall
#bayartukindosenkemdiktisaintek
#dosenbukansapiperah https://t.co/9FLL5GtqPR",,0,34,"['tukinforall', 'bayartukindosenkemdiktisaintek', 'dosenbukansapiperah']"
1886120601275990263,2025-02-02 18:32:48+00:00,dali,20s. she/her. bi 🏳️‍🌈 🍉,"Panjang umur perjuangan, Bapak &amp; Ibu Dosen. Semoga selalu dalam lindungan Tuhan dan dilancarkan aksi besok ✊🏽

#bayartukindosenkemdiktisaintek #dosenbukansapiperah #dosendimiskinkannegara",,0,7,"['bayartukindosenkemdiktisaintek', 'dosenbukansapiperah', 'dosendimiskinkannegara']"
1886216965993513441,2025-02-03 00:55:43+00:00,Pejuang Tukin Dosen ASN Kemendiktisaintek,Negara tanpa Keadilan,"Suasana titik kumpul di depan Monumen Nasiona Jakarta,,dosen2 @Kemdiktisaintek seluruh Indonesia mulai berdatangan..siap untuk AKSI DAMAI hari ini. Bismillaah,, semoga dilancarkan dan tuntutan ini bisa tersampaikan ke bapak presiden @prabowo
#bayartukindosenkemdiktisaintek https://t.co/7PHdIh1cIq",,142,7397,"['bayartukindosenkemdiktisaintek', 'dosenbukansapiperah', 'tukinforall']"
1886361796619251816,2025-02-03 10:31:13+00:00,Mudafiq R. Pratama,Jember,"Hari ini, dosen ASN @kemdiktisaintek turun ke jalan!
Kami sedang menjalankan Tri Dharma. Hari ini, pengabdian kami adalah memperjuangkan hak yang selama ini diabaikan. Bayarkan tukin dosen ASN! 
#tukinforall
#bayartukindosenkemdiktisaintek
#dosenbukansapiperah 
@tukin_dosenASN https://t.co/GoTldWVPyW",,0,1,"['tukinforall', 'bayartukindosenkemdiktisaintek', 'dosenbukansapiperah']"
1878287353925550323,2025-01-12 03:46:16+00:00,Pejuang Tukin Dosen ASN Kemendiktisaintek,Negara tanpa Keadilan,"""Jika ingin menghancurkan sebuah bangsa, tidak perlu dengan perang, cukup HANCURKAN PENDIDIKAN dan ABAIKAN PENDIDIKNYA""

🧵sebuah utas bagaimana dosen ASN Kemdiktisaintek SELALU DIKECUALIKAN untuk mendapatkan tukin sejak lama https://t.co/AjHspkR7vy",,64,3401,[]
1880622732226048349,2025-01-18 14:26:14+00:00,Nindya,,#bayartukindosenkemdiktisaintek #DosenDimiskinkanNegara #dosenbukansapiperah negara lebih percaya influenser dan artis daripada dosen. Saatnya dosen bersuara.,,0,6,"['bayartukindosenkemdiktisaintek', 'DosenDimiskinkanNegara', 'dosenbukansapiperah']"
1886237923307290830,2025-02-03 02:19:00+00:00,Pejuang Tukin Dosen ASN Kemendiktisaintek,Negara tanpa Keadilan,"Semangat dosen-dosen seluruh Indonesia,,kita tuntut keadilan untuk kesejahteraan Dosen, untuk masa depan Pendidikan di Indonesia

@prabowo 
@Kemdiktisaintek
@Gerindra 
@detikcom 
@kompascom 
@tempodotco 
@NarasiNewsroom 
@liputan6dotcom 
@Lambe_Turah 

#tukinforall",,5,292,"['tukinforall', 'dosenbukansapiperah', 'bayartukindosenkemdiktisaintek']"
1886280974490882513,2025-02-03 05:10:04+00:00,Pejuang Tukin Dosen ASN Kemendiktisaintek,Negara tanpa Keadilan,"Ketika dosen turun ke jalan, itu memperlihatkan betapa menyedihkannya kualitas (pendidikan) moral para pejabat yang sudah mengesampingkan hak kami selama 5 tahun ini. 

Lebih dari  500 dosen ASN @Kemdiktisaintek
turun ke jalan menuntut haknya. Tuntutan ini ditujukan kepada bapak https://t.co/PlDoiAlzew",,113,9898,"['bayartukindosenkemdiktisaintek', 'tukinforall', 'dosenbukansapiperah']"
1880178355573780628,2025-01-17 09:00:26+00:00,Pejuang Tukin Dosen ASN Kemendiktisaintek,Negara tanpa Keadilan,"Hadirin sidang Jumat yang dipusingkan pemerintah.

Jangan sampai Anda, Dosen, menerima hasil tanpa berkontribusi apapun pada perjuangan Ini.

#BayarTukinDosenKemdiktisaintek #DosenBukanSapiPerah #DosenDimiskinkanNegara https://t.co/Tyecp5qLFJ",,20,304,"['BayarTukinDosenKemdiktisaintek', 'DosenBukanSapiPerah', 'DosenDimiskinkanNegara']"
1882433662198976745,2025-01-23 14:22:13+00:00,Aggashi Vi,"Manado, Indonesia","Emang dosen @Kemdiktisaintek dimiskinkan negara... Bener bener dah gak ketulungan dzholim nya kementerian ini 🙄
@prabowo @Gerindra 
#dosenbukansapiperah #dosendimiskinkannegara 
#bayartukindosenkemdiktisaintek https://t.co/PXK9zAKmX8",,0,1,"['dosenbukansapiperah', 'dosendimiskinkannegara', 'bayartukindosenkemdiktisaintek']"
1886363086837436884,2025-02-03 10:36:21+00:00,Mudafiq R. Pratama,Jember,"""Kami Mengajar Mahasiswa Berpikir Kritis, Kini Saatnya Kami Bersikap kritis!""
Hari ini kami turun ke jalan, bukan krn ingin gaduh, tp karena janji pemerintah tak kunjung ditepati! @Kemdiktisaintek @tukin_dosenASN #tukinforall #bayartukindosenkemdiktisaintek #dosenbukansapiperah https://t.co/IvdNtWq6Kq",,0,3,"['tukinforall', 'bayartukindosenkemdiktisaintek', 'dosenbukansapiperah']"
1886231394420171023,2025-02-03 01:53:03+00:00,Taufik Setyadi Aras,Bandung,"""Hak yang tertunda adalah hak yang diingkari"" -  Martin Luther. 
Panjang umur perjuangan! #tukinforall #bayartukindosenkemdiktisaintek #dosenbukansapiperah https://t.co/OYYNDA0qGG",,0,4,"['tukinforall', 'bayartukindosenkemdiktisaintek', 'dosenbukansapiperah']"
1886541651579183317,2025-02-03 22:25:54+00:00,evanorawr,bumi,"Kasihan jg lihat dosen yg terpaksa nebeng penelitian mahasiswanya buat menuhin administrasi.

Soal gas juga dong bahlil, entw bahlul.

#bayartukindosenkemdiktisaintek
#tukinforall
#dosenbukansapiperah
#BahlilBahlul https://t.co/fGV3lDmnec",,0,0,"['bayartukindosenkemdiktisaintek', 'tukinforall', 'dosenbukansapiperah', 'BahlilBahlul']"
1886251645883101634,2025-02-03 03:13:31+00:00,Pejuang Tukin Dosen ASN Kemendiktisaintek,Negara tanpa Keadilan,"TARIAN PERAN KABASARAN oleh Dosen2 ASN @Kemdiktisaintek 

#bayartukindosenkemdiktisaintek 
#dosenbukansapiperah #tukinforall",,1,595,"['bayartukindosenkemdiktisaintek', 'dosenbukansapiperah', 'tukinforall']"
1886289606296908000,2025-02-03 05:44:22+00:00,Nabiyla Risfa Izzati,"Yogyakarta, Indonesia","Bayarkan hak tukin dosen, @Kemdiktisaintek @prabowo! #dosenbukansapiperah #tukinforall #bayartukindosenkemdiktisaintek",,1,334,"['dosenbukansapiperah', 'tukinforall', 'bayartukindosenkemdiktisaintek']"
1886238565627314434,2025-02-03 02:21:33+00:00,Pejuang Tukin Dosen ASN Kemendiktisaintek,Negara tanpa Keadilan,"Yang harusnya kami fokus penelitian dan pengabdian mumpung liburan semester,,mesti turun juga akhirnya untuk menuntut keadilan ini🥲
#tukinforall 
#dosenbukansapiperah 
#bayartukindosenkemdiktisaintek",,2,207,"['tukinforall', 'dosenbukansapiperah', 'bayartukindosenkemdiktisaintek']"
1889617201092518227,2025-02-12 10:07:02+00:00,Suci Lestari Yuana,"Yogyakarta, Indonesia","Minggu pertama kuliah di UGM dimulai dengan demo aksi solidaritas untuk Tukin Dosen ASN Kemendiktisaintek. Gimana dengan kampusmu? 😉 
#TukinforAll
#BerserikatKitaKuat https://t.co/tbEottUw3c",,50,10232,"['TukinforAll', 'BerserikatKitaKuat']"
1886270801063899454,2025-02-03 04:29:38+00:00,Pejuang Tukin Dosen ASN Kemendiktisaintek,Negara tanpa Keadilan,"Orasi dari Bu Fatimah @FatimahFat88111 Koordinator Pejuang Tukin,,, kita kawal bersama perjuangan ini sampai cair,, Tukin 2020-2024 adalah utang negara kepada kami
@Kemdiktisaintek @prabowo 
#tukinforall
#bayartukindosenkemdiktisaintek
#dosenbukansapiperah https://t.co/cJuqEGBPiY",,17,1476,"['tukinforall', 'bayartukindosenkemdiktisaintek', 'dosenbukansapiperah']"
1886298239147577508,2025-02-03 06:18:40+00:00,𝕭𝖆𝖓𝖌 𝕴𝖖𝖇𝖆𝖑,feet: 🇬🇧..... heart : 🇵🇸,"Jk pencairan tukin sjk 2020 gagal, Tagih terus sambil turunkan jam bekerja &amp; fokus pekerjaan professional di luar kampus

Kampus tidak layak mendapatkan melainkan sedikit saja dari dosen

#bayartukindosenkemdiktisaintek #tukinforall #dosenbukansapiperah #DosenDimiskinkanNegara",,1,2,"['bayartukindosenkemdiktisaintek', 'tukinforall', 'dosenbukansapiperah', 'DosenDimiskinkanNegara']"
1883527991642423315,2025-01-26 14:50:42+00:00,Niko Azhari Hidayat,"Kota Surabaya, Jawa Timur","Cukup rasa prihatin...
Saatnya menenTUKIN aksi..
Kami abdi negeri ingin.
#dosenbukansapiperah #dosendimiskinkannegara 
#indonesiacemas2045
#indonesiagawattukin 
#semarjaya
#adaksi #aksidosennasional
#dosenindonesia @tukin_dosenASN https://t.co/bMGFWqjIk7",,0,12,"['dosenbukansapiperah', 'dosendimiskinkannegara', 'indonesiacemas2045', 'indonesiagawattukin', 'semarjaya', 'adaksi', 'aksidosennasional', 'dosenindonesia']"
