id,created_at,user,location,text,in_reply_to,reply_count,favorite_count,hashtags
1888681472782954571,2025-02-09 20:08:47+00:00,Pejuang Tukin Dosen ASN Kemendiktisaintek,Negara tanpa Keadilan,"(((dan yang sedang demo tukin))) 😅

terlepas dari itu, kita dapet data valid bahwa ada:
4.356 Perguruan Tinggi
32.592 program studi
338.289 Dosen
9.841.512 Mahasiswa

tapi ga ada satupun yang bisa dapetin nobel prize atau rankingnya masuk 100 besar dunia.

ada yang salah! https://t.co/AMyX5CkKOA",,15,351,[]
1888491929752731838,2025-02-09 07:35:37+00:00,Pejuang Tukin Dosen ASN Kemendiktisaintek,Negara tanpa Keadilan,"Selamat Hari Pers Nasional.

Terimakasih rekan Pers selama ini sudah menjadi mitra ADAKSI &amp; meliput Perjuangan Tukin Dosen ASN Kemendiktisaintek seluruh Indonesia. https://t.co/zjpyPDn9pG",,0,42,[]
1889969314545218034,2025-02-13 09:26:13+00:00,Pejuang Tukin Dosen ASN Kemendiktisaintek,Negara tanpa Keadilan,"singkat cerita, ternyata Kemendiktisaintek tidak memasukkan Tukin Dosen ASN ke dalam postur Rancangan Perubahan Anggaran TA 2025.

artinya apa? yak betul #dosendimiskinkannegara itu real by design ya. catet baik-baik https://t.co/Vav0IDx7Fh",1889968338803282008,6,266,['dosendimiskinkannegara']
1889989038733676810,2025-02-13 10:44:35+00:00,Pejuang Tukin Dosen ASN Kemendiktisaintek,Negara tanpa Keadilan,"akhir kata, buku ini sepertinya cocok untuk dibaca di situasi seperti ini untuk meningkatkan pengetahuan kita tentang makan siang 😙 https://t.co/unRQAzZLzt",1889987029343080483,2,265,[]
1889976861758750942,2025-02-13 09:56:12+00:00,Pejuang Tukin Dosen ASN Kemendiktisaintek,Negara tanpa Keadilan,"Part ini yang gw suka.

""SAYA MERASA NAMA PAK PRABOWO DICEMARKAN (OLEH KEMDIKTISAINTEK)""

""DOSEN ITU DEMONYA KE ISTANA GA KE DPR LAGI SOAL TUKIN, MEREKA SEOLAH-OLEH TIDAK PERCAYA LAGI DENGAN DPR. INI KAN MENGANGGU.....""  

""KARENA KAMI JUGA LELAH  DENGAN PERTANYAAN-PERTANYAAN https://t.co/lyUNYO9tQr",1889975148796850519,3,212,[]
1889657642370416773,2025-02-12 12:47:44+00:00,Pejuang Tukin Dosen ASN Kemendiktisaintek,Negara tanpa Keadilan,"ISI Padangpanjang gokiill🔥🔥,, desak TUKIN Dosen  @Kemdiktisaintek lewat pertunjukan seni 🤩
Semoga tersampaikan ke pak @prabowo @gibran_tweet @Gerindra https://t.co/b4RqgzF4UG",,2,103,[]
1889974621006647668,2025-02-13 09:47:18+00:00,Pejuang Tukin Dosen ASN Kemendiktisaintek,Negara tanpa Keadilan,"berikut beberapa tanggapan dari para anggota DPR. Apresiasi kami karena telah membela dosen ASN

""POSISI TUKIN SAAT INI MASIH NOL""

""TAHUN INI TIDAK AKAN ADA MAHASISWA BARU"" https://t.co/oNqFANZBlI",1889969314545218034,1,195,[]
1889978997729354070,2025-02-13 10:04:41+00:00,Pejuang Tukin Dosen ASN Kemendiktisaintek,Negara tanpa Keadilan,"tegas. TUKIN HARUS MASUK ANGGARAN !

ternyata DPR ada yang ketakutan dianggap pemerintah ga berpihak pada rakyat.

ya urusan itu mah kita semua juga bisa menilai sendiri-sendiri, wkwk https://t.co/UDicTtUFnc",1889978267094106229,1,96,[]
1888791982493123068,2025-02-10 03:27:55+00:00,Pejuang Tukin Dosen ASN Kemendiktisaintek,Negara tanpa Keadilan,"makanya gak perlu takut sama ancaman2 itu,, sudah di-ulti bapak @prabowo sejak 2016 🤗",,0,67,[]
1889978064098206188,2025-02-13 10:00:59+00:00,Pejuang Tukin Dosen ASN Kemendiktisaintek,Negara tanpa Keadilan,Syukurlah DPR sedikit tegas dalam hal tukin ini. masuk tuh barang https://t.co/DUPMI9mND1,1889977527500001682,1,86,[]
1887867647615705480,2025-02-07 14:14:56+00:00,Pejuang Tukin Dosen ASN Kemendiktisaintek,Negara tanpa Keadilan,"mungkin yang dimaksud 2025 Hijriah. 
Soalnya kalo masehi sekarang sudah Februari nih.

Katanya RAKYAT PRIORITAS UTAMA tapi nyatanya TUKIN Mangkrak seharusnya Pemerintah menjadi Teladan Mengayomi Melindungi #pemerintahsehatkanBangsa #bayartukinkemdiktisaintek #dosenbukansapiperah https://t.co/yVKKF3wa3r",,5,112,"['pemerintahsehatkanBangsa', 'bayartukinkemdiktisaintek', 'dosenbukansapiperah', 'dosendimiskinkannegara']"
1890434089468977296,2025-02-14 16:13:04+00:00,Pejuang Tukin Dosen ASN Kemendiktisaintek,Negara tanpa Keadilan,Eaaaaakk... ternak-ternak pada keluar sesuai arahan kakak pembina https://t.co/TK9secZW5e,,12,264,[]
1890404920836100333,2025-02-14 14:17:09+00:00,Pejuang Tukin Dosen ASN Kemendiktisaintek,Negara tanpa Keadilan,"🚨Pernyataan sikap Aliansi Dosen ASN Kemdiktisaintek  terkait keterangan Menteri Keuangan di Gedung Parlemen DPR RI, Jumat 14 Februari 2025.

#bayartukindosenkemdiktisaintek #dosenbukansapiperah #tukinforall https://t.co/702YFU5bpu",,9,306,"['bayartukindosenkemdiktisaintek', 'dosenbukansapiperah', 'tukinforall']"
1889965724422275426,2025-02-13 09:11:57+00:00,Pejuang Tukin Dosen ASN Kemendiktisaintek,Negara tanpa Keadilan,"semua berawal dari program ambisius bapak presiden yaitu Makan Bergizi Gratis (MBG) yang sampai membutuhkan dana ratusan Triliun.

FYI 1 Triliun itu 1.000 Milyar
1 Milyar = 1.000 juta

itu duid cuma buat makan yak ? https://t.co/YgETiydPdh",1889964321855439348,3,194,[]
1888690615434801574,2025-02-09 20:45:07+00:00,Pejuang Tukin Dosen ASN Kemendiktisaintek,Negara tanpa Keadilan,"Gini mau ngomongin kualitas riset. wkwkwk...

If you pay peanuts 🥜, you'll get monkeys 🐒",,20,1397,[]
1887874971910733999,2025-02-07 14:44:02+00:00,Pejuang Tukin Dosen ASN Kemendiktisaintek,Negara tanpa Keadilan,"5. Berhimpunlah dan buat strategi
Orang baik jika berkumpul, tidak ada yang dihasilkan kecuali kebaikan juga.
So, jangan berjalan sendiri-sendiri. berhimpunlah dan saling dukung. Jangan terpecah belah.
dengan begitu kekuatan orang baik akan semakin besar dan besar",1887864036659761584,0,19,[]
1889029827782701101,2025-02-10 19:13:02+00:00,Pejuang Tukin Dosen ASN Kemendiktisaintek,Negara tanpa Keadilan,"Setuju ini. Merger kampus-kampus

Pemerintah sendiri saja bahkan tidak bisa membedakan apa itu sekolah vokasi dan non-vokasi. ini miris.

yg terjadi malah Univ dan poltek saingan. Poltek malah disuruh bikin skripsi lah, buka jurusan aneh yang udah jelas ga ada lapangan kerjanya",,3,73,[]
1889968338803282008,2025-02-13 09:22:20+00:00,Pejuang Tukin Dosen ASN Kemendiktisaintek,Negara tanpa Keadilan,"yang lucu kementerian malah menyindir Presidennya sendiri kalau pernah janjikan programnya universitas gratis.

mau ngakak tapi tukin belum dibayar, yaudah lah.. https://t.co/Nc8ilEZd5Z",1889967581832138826,2,226,[]
1891082165401563275,2025-02-16 11:08:17+00:00,Pejuang Tukin Dosen ASN Kemendiktisaintek,Negara tanpa Keadilan,"Tuh kan kejadian, UKT di PTN BH dah disepakati se-Indonesia bakalan naik.

Jangankan kemendiktisaintek, presiden aja ga akan bisa mencegah kenaikan UKT ini, kecuali emang berharap univnya bubar.

Padahal solusinya sangat-sangat sederhana: berikan tukin untuk seluruh dosen ASN https://t.co/QcJOWdc1B4",,38,1008,['tukinforall']
1890852168921412013,2025-02-15 19:54:22+00:00,Pejuang Tukin Dosen ASN Kemendiktisaintek,Negara tanpa Keadilan,"makannya kalo ada kebijakan aneh-aneh harus segera diramein, diviralin. klo enga kejadian",,1,66,[]
1887589574332789216,2025-02-06 19:49:58+00:00,Pejuang Tukin Dosen ASN Kemendiktisaintek,Negara tanpa Keadilan,"Sejujurnya sudah mulai banyak rekan dosen yang mulai malas-malasan mengajar dan meneliti dengan baik.

Sudah kecapekan cari sampingan di luar kampus.",,13,397,[]
1891430738794344749,2025-02-17 10:13:23+00:00,Pejuang Tukin Dosen ASN Kemendiktisaintek,Negara tanpa Keadilan,"Terima kasih Mahasiswa. 
Hidup Mahasiswa Indonesia!
Hidup Dosen yang Melawan !",,1,122,[]
1889980507590672684,2025-02-13 10:10:41+00:00,Pejuang Tukin Dosen ASN Kemendiktisaintek,Negara tanpa Keadilan,"masih berusaha menjelaskan bahwa tukin tak terbayar ini salahnya Nadiem.

KALAU ITU JELAS !

masalahnya pemerintah sekarang masak mau ngelanjutin penyimpangan itu??? yo ojo to lee.... lele https://t.co/kQEFwyBsnw",1889978997729354070,2,90,[]
1890325387919413749,2025-02-14 09:01:07+00:00,Pejuang Tukin Dosen ASN Kemendiktisaintek,Negara tanpa Keadilan,"setelah viral urusan KIP-K, pemotongan BOPTN dan Tukin Dosen. akhirnya DPR dan Kemenkeu melakukan Konpres sebagai syarat untuk menyelamatkan wajah pemerintah.

Hasilnya?? mungkin KIPK memang tetap ada, tapi tak terhindarkan UKT akan naik dan jumlah mahasiswa akan turun.kok bisa? https://t.co/pqmFuOQMpt",,26,499,[]
1889142552118624761,2025-02-11 02:40:57+00:00,Pejuang Tukin Dosen ASN Kemendiktisaintek,Negara tanpa Keadilan,"Sampai detik ini belum ada kejelasan terkait pembayaran tukin untuk dosen ASN @Kemdiktisaintek, belum ada jawaban resmi @KemensetnegRI atas penyampaian aspirasi kami ke Istana, belum ada respon pak @prabowo terkait tuntutan dosen terhadap AKSI SOLIDARITAS 3 Februari 2025. Apakah https://t.co/QmTBqI4zqE",,32,306,"['dosenmogoknasional', 'dosenbukansapiperah', 'tukinforall', 'bayartukindosenasnkemdiktisaintek']"
1887860373354873026,2025-02-07 13:46:02+00:00,Pejuang Tukin Dosen ASN Kemendiktisaintek,Negara tanpa Keadilan,"@zanatul_91 memang dah paling benar gitu,,selama ini harus nunggu daerah cairin,,itupun beberapa bulan sekali...biar gak ada tuh orang dinas minta pungli2 gak jelas ke guru,,guru gajinya dah kecil,tugasnya berat, mash harus berurusan sm org dinas yg manfaatin guru utk dpatin haknya sndiri.",1887845531319484721,3,81,[]
