id,created_at,user,location,text,in_reply_to,reply_count,favorite_count,hashtags
1878287353925550323,2025-01-12 03:46:16+00:00,Pejuang Tukin Dosen ASN Kemendiktisaintek,Negara tanpa Keadilan,"""Jika ingin menghancurkan sebuah bangsa, tidak perlu dengan perang, cukup HANCURKAN PENDIDIKAN dan ABAIKAN PENDIDIKNYA""

🧵sebuah utas bagaimana dosen ASN Kemdiktisaintek SELALU DIKECUALIKAN untuk mendapatkan tukin sejak lama https://t.co/AjHspkR7vy",,64,3370,[]
1886810987082236370,2025-02-04 16:16:09+00:00,Dosen_Genosse,,wir https://t.co/eXKiND5RrT,,5,4601,[]
1886334276439875691,2025-02-03 08:41:52+00:00,The Conversation Indonesia,Jakarta Capital Region,"Di tengah aksi damai soal tukin, ini pendapat dosen soal perlunya tukin yang bukan cuma soal uang, tapi penghargaan dan keadilan 🤌

Selengkapnya di SuarAkademia: https://t.co/M9h6QdJ4Xz https://t.co/MhHElsyYJg",,2,72,[]
1886280974490882513,2025-02-03 05:10:04+00:00,Pejuang Tukin Dosen ASN Kemendiktisaintek,Negara tanpa Keadilan,"Ketika dosen turun ke jalan, itu memperlihatkan betapa menyedihkannya kualitas (pendidikan) moral para pejabat yang sudah mengesampingkan hak kami selama 5 tahun ini. 

Lebih dari  500 dosen ASN @Kemdiktisaintek
turun ke jalan menuntut haknya. Tuntutan ini ditujukan kepada bapak https://t.co/PlDoiAlzew",,113,9917,"['bayartukindosenkemdiktisaintek', 'tukinforall', 'dosenbukansapiperah']"
1885430587265069550,2025-01-31 20:50:56+00:00,Dosen_Genosse,,"Endlich mal 1 Plakat, dass mich abholt https://t.co/tlbH39mutY",,52,1652,[]
1883774558064484717,2025-01-27 07:10:28+00:00,dr. Gamal,"Malang, Indonesia",Tukin (Tunjangan Kinerja) Dosen adalah panggilan moral kita untuk meningkatkan kesejahteraan dosen. https://t.co/0uL9UZaKek,,16,263,[]
1884536654968328529,2025-01-29 09:38:46+00:00,Pejuang Tukin Dosen ASN Kemendiktisaintek,Negara tanpa Keadilan,"Surat yang dikeluarkan @Kemdiktisaintek pada hari libur ini ditujukan ke seluruh rektor/direktur untuk mencuci pimpinan PTN agar seolah-olah pemerintah tidak punya hutang tukin ke seluruh dosen ASN di Indonesia sejak 2020. 

Mana ada... hutang ya hutang, harus dibayar! https://t.co/AuhQWlYxYv",,158,3098,[]
1885954365539709352,2025-02-02 07:32:14+00:00,H.P.,"Berlin, Deutschland","""Der Nationalsozialismus hat sich vorsichtig, in kleinen Dosen, durchgesetzt - man hat immer ein bisschen gewartet, bis das Gewissen der Welt die nächste Dosis vertrug."" 
-Stefan Zweig- https://t.co/PsX7w4ICha",,150,3514,[]
1886417230377996443,2025-02-03 14:11:30+00:00,/midclass_struggler. ‼️#PECATBAHLIL‼️,"Dresden, Germany","Sepekan terakhir: 
Guru demo. Nelayan demo. Dosen ASN demo. Anak SMA demo. 

Emak-emak ngantri LPG sampai ada korban jiwa. https://t.co/AowNeV1Pfr",,64,11751,[]
1885033351637078169,2025-01-30 18:32:27+00:00,Pejuang Tukin Dosen ASN Kemendiktisaintek,Negara tanpa Keadilan,"Kirain Huruf ""P"" di SK PNS kami itu ""Pegawai"", terus apa dong ?

#DosenPegawaiNegeriTakDianggap🥲 https://t.co/N8q35QVWeX",,158,569,['DosenPegawaiNegeriTakDianggap']
1886332872660840611,2025-02-03 08:36:17+00:00,antaranews.com,NKRI,Aliansi Dosen ASN Kemdiktisaintek Seluruh Indonesia (ADAKSI) mengharapkan agar Presiden Prabowo Subianto tersentuh hatinya terkait belum terbayarnya tunjangan kinerja (Tukin) bagi mereka sehingga diharapkan dapat memberikan solusi. https://t.co/QN6V119giA,,1,4,[]
1885237673570300044,2025-01-31 08:04:22+00:00,BG,Clownwelt! 🤡,"🟥 🇪🇺
1/3
‼️ „Nur für den Fall“:
Von der Leyen bestellt weitere 146 Millionen Dosen COVID-19-Impfstoff bei Moderna! 

Die Europäische Kommission hat den Vertrag am 28. Januar unterzeichnet, berichtet Apollo News.
Sie gaben an, dass dies für künftige „Notfälle“ notwendig sei. https://t.co/vFnHrV5ouh",,8,9,[]
1875890199734919458,2025-01-05 13:00:50+00:00,kumparan,,"Kementerian Pendidikan Tinggi, Sains, dan Teknologi (Kemdiktisaintek) memastikan bahwa tidak ada anggaran tunjangan kinerja (tukin) maupun tunjangan profesi untuk dosen pada 2025.
#newsupdate #update #news #oneliner https://t.co/wm7Jl1uYxE",,308,1945,"['newsupdate', 'update', 'news', 'oneliner']"
1886737030966825219,2025-02-04 11:22:16+00:00,Sam Ardi,Karang Tumaritis,"Kalau memang protes bahkan mogok ngajar itu dianggap mencoreng marwah, lalu dulu Sekjen Kemendiktisaintek waktu masih jadi dosen mencoreng marwah siapa dengan protes dan mogok ngajar? Atau dengan protes bahkan mogok dianggap tidak mencoreng malahan ya waktu itu? Wallahu’alam. https://t.co/x6P5TxD5y9",,3,235,[]
